 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | c-tag Eigenvar. 4 | -0.000742085 / 0.000742076 | -0.000156449 / 0.000156432 | -0.000492467 / 0.000492474 | -0.00235472 / 0.00235466 | -0.000624147 / 0.000624156 | -0.000661497 / 0.000661514 | 0.00281213 / -0.00281217 | -0.011026 / 0.0110252 | -0.000854917 / 0.000854916 | 2.63709e-05 / -2.64306e-05 |
 | c-tag Eigenvar. 5 | -0.000381099 / 0.000381092 | -9.94041e-05 / 9.9387e-05 | -0.000311217 / 0.000311226 | 0.0118907 / -0.0118916 | 3.81577e-05 / -3.8146e-05 | -0.00102301 / 0.00102303 | 0.00464282 / -0.00464295 | -0.00178662 / 0.00178657 | 0.0048763 / -0.00487646 | 0.00359621 / -0.00359629 |
 | c-tag Eigenvar. 6 | -0.000226615 / 0.00022661 | -8.67283e-05 / 8.67111e-05 | -0.000290983 / 0.000290992 | 0.00277119 / -0.00277121 | -9.06672e-05 / 9.06789e-05 | -0.000568253 / 0.00056818 | 0.00373343 / -0.00373341 | 0.000229572 / -0.000229599 | 0.00157443 / -0.00157443 | 0.00170527 / -0.00170526 |
 | c-tag Eigenvar. 7 | 0.000495004 / -0.000495009 | 5.25569e-05 / -5.25741e-05 | 0.000201842 / -0.000201833 | -0.00809586 / 0.00809584 | -0.000482858 / 0.000482803 | 0.000325228 / -0.000325208 | -0.00342625 / 0.00342627 | -0.00122372 / 0.00122376 | 9.8035e-05 / -9.80311e-05 | -0.00199696 / 0.00199697 |
 | c-tag Eigenvar. 8 | 0.000296364 / -0.000296369 | 5.62925e-05 / -5.63097e-05 | -3.53208e-06 / 3.54137e-06 | 0.00461809 / -0.00461804 | 0.000329108 / -0.000329096 | 0.000262379 / -0.000262359 | 0.00190217 / -0.00190215 | -0.000942488 / 0.000942462 | 0.00010644 / -0.000106436 | 0.000903966 / -0.000903957 |
 | c-tag Eigenvar. 9 | -0.000167041 / 0.000167035 | -2.61045e-05 / 2.61941e-05 | -0.000169027 / 0.000169036 | 0.0024164 / -0.00241642 | 0.000274269 / -0.000274257 | -0.000158706 / 0.000158632 | 0.000863766 / -0.00086375 | 0.00251177 / -0.0025118 | -0.00121412 / 0.00121412 | 7.75636e-05 / -7.75548e-05 |
 | c-tag Eigenvar. 10 | 0.000384265 / -0.00038427 | 8.73515e-05 / -8.73687e-05 | 0.000274345 / -0.000274336 | 0.00496243 / -0.00496238 | 0.000164062 / -0.00016405 | 0.000181427 / -0.0001815 | -0.000327341 / 0.000327294 | 0.00179928 / -0.00179924 | -0.00907216 / 0.00907217 | -0.00203267 / 0.00203268 |
 | c-tag Eigenvar. 11 | 0.000980893 / -0.000980898 | 0.000110512 / -0.000110529 | 0.000554539 / -0.00055453 | 0.00111459 / -0.00111454 | -6.19606e-05 / 6.19724e-05 | 0.00115183 / -0.00115181 | -0.000212562 / 0.000212578 | 6.12742e-05 / -6.13008e-05 | 0.00679951 / -0.0067995 | -0.00079372 / 0.000793728 |
 | c-tag Eigenvar. 12 | 0.000479424 / -0.00047943 | 0.000107417 / -0.000107434 | 0.000390264 / -0.000390255 | -0.0061217 / 0.00612168 | 0.0001506 / -0.000150588 | 9.65341e-05 / -9.65141e-05 | -0.00107149 / 0.00107151 | -0.00415943 / 0.0041594 | 0.000259969 / -0.000259965 | -0.000721607 / 0.000721616 |
 | c-tag Eigenvar. 13 | 0.000626457 / -0.000626462 | 0.000252039 / -0.000252056 | 0.00042801 / -0.000428001 | 0.000748107 / -0.000748128 | -0.000211367 / 0.000211378 | 0.000549231 / -0.000549211 | 0.000259718 / -0.000259765 | 0.00269975 / -0.00269978 | 0.00290795 / -0.00290795 | -0.000523607 / 0.000523615 |
