 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | JER Effective NP5 | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | JER Effective NP6 | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | JER Effective NP7 RestTerm | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | JES Pileup OffsetMu | 0.00188933 / -0.00188936 | -0.00810986 / 0.00810947 | -0.00393317 / 0.00393307 | 0.00825328 / -0.00825382 | -0.0261812 / 0.0261765 | -0.0313058 / 0.0312993 | 0.000643385 / -0.000643373 | -0.0350066 / 0.0349984 | -0.0211835 / 0.0211804 | -0.181994 / 0.181877 |
 | JES Pileup NPV | 0.00469444 / -0.0046945 | -0.00431289 / 0.00431283 | -0.00323658 / 0.00323656 | 0.0155621 / -0.0155627 | -0.0349672 / 0.0349661 | 0.00824567 / -0.00824581 | 0.00532803 / -0.00532808 | -0.0614707 / 0.0614711 | 0.0332688 / -0.0332725 | -0.00733925 / 0.00733916 |
 | JES Pileup PtTerm | 0.000891256 / -0.000891179 | -0.00348945 / 0.00348946 | 0.00123928 / -0.00123929 | -0.00812765 / 0.00812719 | -0.0178264 / 0.0178243 | -0.0050101 / 0.00500996 | 0.00304534 / -0.00304539 | -0.0224273 / 0.022424 | -0.00741876 / 0.0074184 | -0.163776 / 0.163639 |
 | JES Pileup RhoTopology | 0.00858839 / -0.00858905 | 0.00349382 / -0.00349384 | -0.00553037 / 0.00553011 | 0.0042977 / -0.00429789 | -0.0274702 / 0.0274638 | -0.00480225 / 0.00480206 | 0.0280783 / -0.0259208 | -0.0279344 / 0.0279278 | 0.000958338 / -0.000958342 | 0.0191418 / -0.0191451 |
 | JET PunchThrough AFII | -2.72659e-09 / -2.72659e-09 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JES Relative NonClosure | 0.00198764 / -0.00198764 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JES SingleParticle HighPt | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | #it{t#bar{t}} cross-section | 0 / 0 | 0.0555749 / -0.0555978 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Scale #mu_{R},#mu_{F} ttbar | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 1 | 0 / 0 | 0.00237596 / -0.00237596 | 0.00237596 / -0.00237596 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 2 | 0 / 0 | -0.00993242 / 0.00993242 | -0.0099324 / 0.0099324 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 3 | 0 / 0 | -0.00117136 / 0.00117136 | -0.00117136 / 0.00117136 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 4 | 0 / 0 | -0.0116205 / 0.0116196 | -0.0116205 / 0.0116196 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 5 | 0 / 0 | 0.000896377 / -0.000896377 | 0.000896396 / -0.000896396 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 6 | 0 / 0 | -0.00750533 / 0.00750533 | -0.00750531 / 0.00750531 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 7 | 0 / 0 | -0.000210064 / 0.000210064 | -0.000210066 / 0.000210066 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 8 | 0 / 0 | -0.000258327 / 0.000258327 | -0.000258327 / 0.000258327 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 9 | 0 / 0 | -0.00499853 / 0.00499853 | -0.00499853 / 0.00499853 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 10 | 0 / 0 | 0.00133673 / -0.00133673 | 0.00133673 / -0.00133673 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 11 | 0 / 0 | -0.00738127 / 0.00738127 | -0.00738127 / 0.00738127 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 12 | 0 / 0 | -0.00231075 / 0.00231075 | -0.00231074 / 0.00231074 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 13 | 0 / 0 | 0.0014443 / -0.0014443 | 0.0014443 / -0.0014443 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 14 | 0 / 0 | -0.00150337 / 0.00150337 | -0.00150337 / 0.00150337 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 15 | 0 / 0 | 0.000515412 / -0.000515412 | 0.000515417 / -0.000515417 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 16 | 0 / 0 | -0.00261641 / 0.00261641 | -0.00261641 / 0.00261641 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 17 | 0 / 0 | 0.00699501 / -0.00699501 | 0.00699501 / -0.00699501 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 18 | 0 / 0 | 0.00272316 / -0.00272316 | 0.00272315 / -0.00272315 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 19 | 0 / 0 | -0.00843867 / 0.00843867 | -0.00843868 / 0.00843868 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 20 | 0 / 0 | -0.000815654 / 0.000815654 | -0.000815652 / 0.000815652 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 21 | 0 / 0 | -0.00122616 / 0.00122616 | -0.00122615 / 0.00122615 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 22 | 0 / 0 | 0.0053966 / -0.0053966 | 0.00539656 / -0.00539656 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 23 | 0 / 0 | 0.0008057 / -0.0008057 | 0.000805698 / -0.000805698 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 24 | 0 / 0 | -0.00108977 / 0.00108977 | -0.00108977 / 0.00108977 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 25 | 0 / 0 | -0.000694769 / 0.000694769 | -0.00069477 / 0.00069477 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 26 | 0 / 0 | 0.00269544 / -0.00269544 | 0.00269544 / -0.00269544 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 27 | 0 / 0 | 0.0012542 / -0.0012542 | 0.0012542 / -0.0012542 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 28 | 0 / 0 | 0.0092004 / -0.0092004 | 0.00920041 / -0.00920041 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 29 | 0 / 0 | 0.000615001 / -0.000615001 | 0.000615001 / -0.000615001 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 30 | 0 / 0 | -0.000546676 / 0.000546676 | -0.000546675 / 0.000546675 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER DataVsMC | 0 / 0 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | JET PunchThrough MC16 | 0 / 0 | 2.17942e-06 / -2.19659e-06 | 0.000156291 / -0.000156282 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | -2.13278e-06 / 2.14159e-06 |
 | #it{t#bar{t}} ISR/FSR | 0 / 0 | 0.105502 / -0.106879 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{t#bar{t}} PowHer7 | 0 / 0 | 0.329282 / -0.334416 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{t#bar{t}}+#gamma cross-section | 0 / 0 | 0 / 0 | 0.0790971 / -0.079138 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Scale #mu_{R},#mu_{F} ttgam | 0 / 0 | 0 / 0 | -0.0148591 / -0.0570467 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | VV cross-section | 0 / 0 | 0 / 0 | 0 / 0 | 0.0595949 / -0.0596183 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Scale #mu_{R},#mu_{F} VV | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top cross-section | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0497028 / -0.0497151 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Scale #mu_{R},#mu_{F} single top | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+jets cross-section | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0497477 / -0.0497499 | 0.0497477 / -0.0497499 | 0.0497477 / -0.0497499 | 0.0497477 / -0.0497499 |
 | Scale #mu_{R},#mu_{F} WGam | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.175006 / -0.123969 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Scale #mu_{R},#mu_{F} ZJets | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.180035 / -0.117973 | 0 / 0 |
 | Scale #mu_{R},#mu_{F} ZGam | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.188584 / -0.124591 |
