 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | c-tag Eigenvar. 9 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 10 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 11 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 12 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 13 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 14 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 15 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 16 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 17 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 18 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
